Title2
Total Recreation Visits for Mar 2025

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"25,134,265","23,693,259","-1,441,006","53,695,859","51,584,487","-2,111,372"
